,age,job,marital,default,balance
258,38,Others,single,0,619.0
260,40,Others,married,0,480.0
261,29,Others,single,0,213.0
262,35,Others,single,0,68.0
263,28,Others,married,0,2788.0
264,40,Others,married,0,7561.0
266,50,Others,married,0,1595.0
267,43,Others,single,0,1046.0
269,38,Others,married,0,217.0
271,40,Others,married,0,1321.0
272,40,Others,married,0,25.0
273,36,Others,single,0,4844.0
274,42,Others,married,0,5345.0
275,41,admin.,single,0,812.0
276,42,admin.,married,0,105.0
277,39,Others,married,0,-190.0
278,40,Others,married,0,625.0
279,40,Others,married,0,293.0
280,40,Others,married,0,1033.0
281,40,Others,married,0,1210.0
282,49,Others,married,0,64.0
284,36,Others,married,0,1766.0
285,40,admin.,single,0,1248.0
286,40,Others,married,0,0.0
287,40,admin.,married,0,826.0
288,39,Others,married,0,2630.0
289,47,Others,single,0,3727.0
290,40,Others,married,0,406.0
291,35,Others,married,0,2999.0
292,48,Others,married,0,1000.0
294,24,Others,single,1,-203.0
295,49,Others,married,0,361.0
296,36,Others,married,0,274.0
298,42,Others,single,0,323.0
299,36,Others,married,0,981.0
301,48,Others,single,0,3229.0
302,40,Others,single,0,1610.0
303,40,Others,married,0,33.0
304,46,Others,married,0,536.0
305,37,Others,married,0,0.0
306,36,Others,married,0,3057.0
307,47,Others,married,0,2892.0
309,38,Others,single,0,3316.0
310,40,Others,married,0,106.0
311,39,Others,married,0,2303.0
312,40,Others,married,0,3301.0
313,39,Others,single,0,426.0
315,27,admin.,married,0,-97.0
316,41,Others,single,0,11008.0
317,42,Others,single,0,4930.0
318,41,Others,married,0,707.0
319,33,Others,married,0,4.0
320,46,admin.,married,0,126.0
321,31,Others,married,0,671.0
322,41,Others,married,0,219.0
325,40,Others,married,0,1319.0
326,40,Others,married,0,2152.0
327,39,Others,married,0,2843.0
328,40,Others,married,1,0.0
329,40,Others,married,0,1115.0
330,42,Others,single,0,625.0
331,41,Others,married,0,246.0
332,27,Others,married,0,61.0
333,25,Others,single,0,-191.0
334,43,Others,married,0,519.0
335,44,Others,married,0,522.0
336,26,Others,single,0,-46.0
337,40,Others,married,0,2269.0
338,40,Others,married,0,386.0
339,40,Others,married,0,0.0
340,40,Others,married,0,9103.0
341,29,Others,single,0,908.0
342,47,Others,married,0,1694.0
343,40,Others,married,0,-92.0
344,40,Others,married,0,188.0
346,43,Others,single,0,740.0
347,45,Others,married,0,655.0
348,24,Others,married,0,867.0
349,40,Others,married,0,1009.0
351,36,Others,married,0,4145.0
352,27,Others,single,1,-27.0
353,26,admin.,single,0,-122.0
354,43,Others,married,0,149.0
355,25,Others,single,0,52.0
356,27,Others,married,0,335.0
357,30,Others,married,0,526.0
358,28,admin.,single,0,-7.0
359,27,Others,married,0,-413.0
361,41,Others,single,0,75.0
362,37,Others,single,0,0.0
363,27,Others,single,0,158.0
364,29,Others,single,0,84.0
365,33,Others,married,0,114.0
366,36,Others,married,0,0.0
367,28,Others,single,0,-127.0
368,40,Others,married,0,49.0
369,40,Others,married,0,216.0
370,39,Others,single,0,506.0
372,33,Others,single,0,170.0
374,45,Others,married,0,879.0
375,37,Others,married,0,1633.0
376,46,Others,married,0,926.0
377,32,Others,single,0,2559.0
378,28,Others,single,0,909.0
380,41,Others,single,1,1085.0
382,47,Others,single,0,-239.0
383,31,Others,single,0,726.0
384,31,Others,single,0,296.0
385,33,Others,married,0,-627.0
386,40,Others,married,1,-468.0
387,26,Others,single,0,551.0
388,25,Others,single,0,0.0
389,25,Others,married,0,101.0
390,28,Others,single,0,517.0
393,36,Others,married,0,30.0
394,26,Others,single,1,81.0
395,38,Others,married,0,0.0
396,40,Others,single,0,663.0
397,26,admin.,single,0,102.0
398,26,Others,married,0,370.0
399,25,Others,single,0,189.0
400,26,Others,single,0,111.0
401,40,Others,married,0,665.0
402,37,admin.,married,0,214.0
403,43,Others,single,0,0.0
405,49,Others,married,0,0.0
408,38,Others,married,1,327.0
409,26,Others,married,0,-119.0
410,32,Others,married,0,794.0
411,33,Others,married,0,-191.0
412,31,Others,single,0,409.0
413,49,Others,married,0,3.0
414,27,Others,single,0,9.0
415,30,Others,single,0,155.0
416,35,Others,married,0,1330.0
417,26,Others,single,0,-29.0
418,45,Others,married,0,3133.0
419,34,admin.,married,0,-33.0
420,28,admin.,single,0,-170.0
421,25,Others,single,0,1243.0
422,30,Others,single,0,1598.0
423,30,Others,married,0,5.0
424,47,Others,married,0,367.0
426,38,Others,married,0,1722.0
427,40,Others,married,0,-315.0
428,25,Others,single,0,2483.0
429,30,Others,married,0,0.0
430,26,Others,single,0,45.0
431,31,Others,married,0,46.0
432,29,Others,single,0,482.0
433,49,Others,married,0,3728.0
435,40,Others,married,0,2222.0
436,29,Others,single,0,983.0
438,44,admin.,married,0,1074.0
439,47,Others,married,0,3466.0
440,35,admin.,married,0,-203.0
441,35,Others,married,0,2436.0
442,38,Others,married,0,976.0
443,34,Others,married,0,146.0
444,50,Others,married,0,156.0
445,43,admin.,married,0,189.0
448,31,Others,married,0,1173.0
449,39,Others,married,0,0.0
450,40,Others,married,0,296.0
451,25,Others,single,0,333.0
452,40,Others,married,0,3864.0
453,30,Others,married,0,2686.0
454,34,Others,single,0,-109.0
456,40,Others,married,0,597.0
457,40,Others,married,0,-799.0
459,30,Others,single,0,0.0
461,29,Others,single,0,5.0
462,27,Others,married,0,139.0
463,28,Others,single,0,0.0
464,34,Others,single,0,855.0
465,29,Others,single,0,694.0
466,27,Others,single,0,151.0
467,26,Others,single,0,354.0
468,36,Others,married,0,673.0
469,44,Others,married,0,1265.0
470,39,Others,married,0,597.0
471,30,Others,married,0,-393.0
473,40,Others,married,0,0.0
474,29,Others,married,0,2870.0
475,43,Others,married,0,184.0
476,32,Others,married,0,1905.0
477,30,admin.,single,0,-36.0
478,40,Others,married,0,-839.0
479,42,Others,married,0,3465.0
480,27,Others,married,0,119.0
481,35,Others,married,0,36.0
482,35,Others,married,0,113.0
483,32,Others,single,0,118.0
484,39,Others,married,0,251.0
486,26,Others,single,0,-189.0
487,42,Others,married,0,4.0
488,27,Others,single,0,1820.0
490,40,Others,married,0,201.0
491,33,admin.,married,0,0.0
492,30,Others,single,0,178.0
493,40,Others,married,0,3798.0
496,27,Others,married,0,0.0
497,44,Others,single,0,292.0
502,33,Others,married,0,661.0
503,33,Others,married,0,89.0
504,32,Others,married,0,102.0
506,31,admin.,single,0,622.0
509,43,Others,married,0,104.0
510,28,Others,married,0,173.0
513,35,Others,single,0,145.0
514,31,Others,married,0,325.0
515,25,Others,single,0,2311.0
517,47,Others,married,0,1981.0
518,39,Others,married,0,1423.0
519,40,Others,married,0,2455.0
521,40,Others,married,0,9004.0
522,42,Others,married,0,970.0
523,40,Others,married,0,486.0
524,40,Others,married,0,127.0
525,26,Others,single,0,409.0
526,40,admin.,single,0,664.0
527,26,Others,single,0,223.0
528,35,Others,single,0,-324.0
529,34,Others,single,0,-30.0
530,41,Others,single,0,1253.0
531,44,Others,married,0,4758.0
532,33,Others,single,0,30.0
534,38,Others,married,0,0.0
535,35,Others,married,0,328.0
536,41,Others,single,0,145.0
538,28,Others,married,0,751.0
539,26,Others,married,0,-379.0
540,39,Others,single,0,0.0
541,25,admin.,married,0,349.0
542,37,admin.,married,0,1110.0
543,25,Others,married,0,2228.0
545,25,Others,single,0,-247.0
546,28,Others,single,0,-123.0
548,32,Others,single,0,131.0
549,32,Others,married,0,476.0
550,47,Others,single,0,1101.0
551,50,Others,married,0,-168.0
552,27,Others,married,0,-392.0
553,45,admin.,married,0,524.0
554,40,admin.,single,0,895.0
555,36,admin.,married,0,212.0
556,40,Others,married,0,95.0
557,33,Others,single,0,395.0
558,40,Others,married,0,135.0
559,38,Others,married,0,0.0
560,40,Others,married,0,471.0
561,40,Others,married,0,603.0
562,41,Others,single,0,663.0
563,38,Others,married,0,593.0
564,31,Others,married,0,1224.0
565,28,admin.,single,0,2.0
566,41,Others,married,1,720.0
568,25,Others,single,0,1747.0
570,31,Others,married,0,33.0
571,28,Others,single,0,340.0
573,25,Others,married,0,0.0
574,28,Others,single,0,497.0
575,40,Others,married,0,1371.0
576,28,Others,single,0,1628.0
577,27,Others,single,0,372.0
578,49,Others,single,0,566.0
579,40,Others,married,0,343.0
580,26,Others,single,0,941.0
581,37,Others,married,0,775.0
582,34,Others,single,0,1759.0
583,40,Others,married,0,1495.0
584,39,Others,married,0,1444.0
585,35,Others,single,0,470.0
586,40,Others,married,0,1162.0
587,30,Others,single,0,2.0
588,42,Others,single,0,1628.0
589,40,Others,married,0,1134.0
590,40,Others,married,0,0.0
592,30,Others,married,0,1221.0
593,37,Others,single,0,5024.0
594,39,Others,married,0,10685.0
595,35,Others,married,0,1629.0
596,48,Others,married,0,268.0
597,31,Others,married,0,0.0
598,35,Others,married,0,5613.0
599,48,Others,married,0,513.0
600,40,Others,married,0,362.0
601,27,Others,single,0,3933.0
602,40,Others,married,0,3899.0
603,40,Others,married,0,473.0
604,40,Others,single,0,1616.0
606,40,Others,single,0,129.0
607,40,Others,married,0,1938.0
608,50,admin.,single,0,133.0
610,41,Others,married,0,1538.0
612,42,Others,single,0,2625.0
614,47,Others,married,0,312.0
615,40,admin.,married,0,145.0
616,41,Others,married,0,-190.0
617,50,admin.,married,0,2678.0
618,46,Others,married,0,271.0
619,44,Others,married,0,0.0
620,36,Others,married,0,0.0
622,44,Others,single,1,-4.0
624,40,Others,married,0,-375.0
625,40,Others,married,0,959.0
627,41,Others,married,1,-1.0
628,36,Others,married,0,96.0
630,50,Others,married,0,230.0
631,44,Others,married,0,-156.0
632,40,Others,married,0,114.0
633,35,Others,married,0,-468.0
635,42,Others,married,0,206.0
636,27,Others,single,0,1.0
638,43,admin.,married,0,378.0
639,39,Others,single,0,391.0
640,33,Others,married,0,-144.0
641,36,Others,single,0,1240.0
643,50,Others,married,0,2284.0
644,40,Others,married,0,264.0
646,48,Others,married,1,-392.0
648,30,Others,married,0,48.0
649,40,Others,married,0,252.0
650,40,Others,married,0,1954.0
651,44,Others,married,0,755.0
653,40,admin.,married,0,341.0
654,40,Others,married,0,1183.0
655,49,Others,married,0,388.0
656,38,Others,married,0,1919.0
659,40,Others,married,0,0.0
660,43,Others,married,0,0.0
662,40,Others,married,0,466.0
663,41,Others,married,0,515.0
664,50,Others,married,0,2313.0
665,40,Others,married,0,-8.0
666,40,Others,married,0,1634.0
667,40,Others,married,0,100.0
668,40,Others,married,0,5361.0
670,40,Others,married,0,3400.0
671,49,Others,single,0,1377.0
673,40,Others,married,0,512.0
674,42,Others,married,0,921.0
675,40,Others,married,0,1000.0
676,38,Others,married,0,202.0
677,40,Others,married,0,169.0
678,49,Others,married,0,3726.0
680,46,Others,married,0,940.0
682,40,Others,married,0,77.0
683,45,admin.,married,0,925.0
684,39,Others,married,0,1836.0
685,46,admin.,married,0,660.0
686,43,Others,single,0,1304.0
687,34,Others,married,0,2956.0
691,47,Others,married,0,2480.0
692,42,Others,married,0,14282.0
693,40,Others,single,0,0.0
695,32,Others,married,0,560.0
696,33,Others,single,0,3059.0
697,32,Others,married,0,1423.0
698,46,Others,married,0,874.0
699,50,admin.,married,0,706.0
700,40,Others,married,0,7098.0
701,30,Others,single,0,5389.0
702,39,Others,single,0,1104.0
703,47,admin.,married,0,3070.0
705,50,Others,married,0,4108.0
706,40,Others,married,0,0.0
707,32,Others,single,0,4291.0
708,40,Others,married,0,6822.0
709,41,Others,married,0,231.0
710,50,Others,married,0,3176.0
712,31,Others,married,0,676.0
713,36,Others,single,0,651.0
716,47,Others,married,0,405.0
717,35,Others,married,0,82.0
718,38,Others,married,0,179.0
719,33,Others,married,0,1047.0
720,44,Others,single,0,7138.0
721,31,Others,single,0,165.0
722,31,Others,single,0,37.0
723,49,Others,married,0,823.0
724,40,Others,married,0,1625.0
725,31,Others,married,0,120.0
726,35,Others,married,0,2957.0
727,31,Others,single,0,2.0
729,39,Others,married,0,1795.0
730,46,Others,married,0,4.0
731,48,Others,married,0,476.0
732,36,Others,married,0,9.0
733,30,Others,married,0,131.0
734,33,Others,single,0,1120.0
735,40,Others,married,0,2785.0
736,33,Others,single,0,0.0
737,35,Others,married,0,43.0
738,40,Others,married,0,0.0
739,41,Others,married,0,456.0
740,32,Others,single,0,2018.0
741,41,Others,married,0,0.0
742,35,Others,single,0,354.0
743,48,Others,married,0,719.0
744,34,Others,married,0,828.0
745,47,Others,married,0,2787.0
746,46,Others,married,0,2551.0
747,40,Others,married,0,2722.0
748,39,Others,married,0,1880.0
749,40,Others,married,0,2112.0
751,30,Others,married,0,850.0
752,33,Others,married,0,3243.0
753,30,Others,married,0,1567.0
754,36,Others,single,1,12.0
755,49,Others,married,0,128.0
756,49,Others,married,0,553.0
758,49,Others,married,0,408.0
759,38,Others,married,0,1223.0
760,31,Others,single,0,1858.0
761,34,Others,married,0,520.0
762,39,Others,married,0,271.0
763,40,Others,married,0,4396.0
764,47,Others,married,0,568.0
765,37,Others,single,0,3665.0
766,44,Others,single,0,244.0
767,40,Others,married,0,568.0
768,40,Others,married,0,42.0
769,40,Others,married,0,309.0
770,35,Others,married,0,-180.0
771,32,Others,single,0,34646.0
773,37,Others,married,0,4436.0
774,37,Others,single,0,-242.0
775,50,Others,married,0,10052.0
776,40,Others,married,0,0.0
778,31,Others,married,0,156.0
779,40,Others,married,0,66.0
780,34,Others,single,0,9827.0
781,40,Others,married,0,6170.0
782,43,Others,married,0,2383.0
783,30,Others,single,0,635.0
784,34,Others,single,0,16.0
786,33,Others,married,0,191.0
787,37,Others,single,0,455.0
789,40,Others,married,0,3334.0
790,34,Others,married,0,8029.0
791,44,Others,married,0,624.0
792,35,Others,single,0,331.0
793,34,Others,married,0,2929.0
794,49,Others,married,0,1314.0
795,30,Others,married,0,289.0
796,32,Others,single,0,20.0
797,40,Others,married,0,8163.0
798,50,Others,single,0,1200.0
799,32,Others,single,0,1732.0
800,45,Others,single,0,0.0
801,40,Others,married,0,576.0
802,40,Others,married,0,493.0
803,47,Others,married,0,682.0
804,32,Others,single,0,0.0
805,40,Others,married,0,3485.0
806,36,Others,single,0,2944.0
807,46,Others,married,0,1353.0
809,30,Others,single,0,1541.0
810,40,Others,married,0,548.0
812,46,Others,single,0,4414.0
813,40,Others,married,0,985.0
814,40,Others,married,0,1241.0
815,38,Others,single,0,3278.0
816,49,Others,married,0,412.0
817,43,Others,single,0,483.0
818,40,Others,married,0,7135.0
819,33,Others,single,0,61.0
820,33,Others,married,0,1412.0
821,40,Others,married,0,15.0
822,40,admin.,single,0,27.0
823,44,Others,married,0,1196.0
825,33,Others,single,0,432.0
826,40,Others,married,0,988.0
827,40,admin.,married,0,1614.0
828,33,Others,single,0,163.0
829,37,Others,married,0,247.0
830,45,admin.,married,0,236.0
831,34,Others,single,0,666.0
832,40,Others,married,0,73.0
834,32,Others,single,0,46.0
835,50,Others,married,0,1501.0
836,30,Others,single,0,-477.0
837,40,admin.,married,0,1694.0
838,40,Others,married,0,196.0
839,34,Others,single,0,462.0
840,40,Others,married,0,1227.0
841,32,Others,single,0,522.0
842,31,Others,married,0,94.0
843,44,Others,married,0,267.0
844,33,Others,married,0,4570.0
845,40,Others,married,0,25.0
846,46,Others,single,0,0.0
847,46,Others,married,0,1920.0
848,40,admin.,married,0,1575.0
849,40,Others,married,0,234.0
850,40,Others,married,0,3518.0
851,43,Others,married,0,136.0
852,48,Others,single,0,830.0
853,33,Others,married,0,2054.0
854,40,Others,married,0,-546.0
855,40,Others,married,0,5188.0
856,32,Others,single,0,1882.0
857,44,Others,married,0,792.0
858,47,Others,married,1,162.0
859,34,Others,married,0,1035.0
860,40,Others,married,0,746.0
861,40,Others,married,0,17297.0
862,46,admin.,married,0,22.0
863,41,Others,married,0,231.0
864,34,Others,single,0,296.0
866,37,Others,married,0,40.0
867,40,Others,married,0,2396.0
868,40,Others,married,0,2944.0
869,33,Others,single,0,7084.0
870,30,Others,married,0,569.0
871,36,Others,married,0,0.0
872,44,Others,married,0,1138.0
874,33,Others,single,0,2637.0
875,36,Others,married,0,2473.0
876,40,Others,married,0,5603.0
878,39,Others,married,0,-17.0
879,35,Others,single,0,3490.0
880,32,Others,single,0,769.0
882,30,Others,married,0,1785.0
883,36,Others,single,0,-103.0
885,40,Others,married,0,5303.0
886,43,Others,married,0,1258.0
887,44,Others,single,0,1679.0
888,30,Others,married,0,1664.0
889,32,admin.,married,0,8749.0
890,42,admin.,single,0,-247.0
891,33,Others,married,0,3444.0
892,45,admin.,married,0,5346.0
893,45,Others,married,0,1144.0
894,28,Others,single,0,2351.0
895,32,Others,single,0,5514.0
896,28,Others,married,0,123.0
898,40,Others,married,0,5254.0
899,40,Others,married,0,589.0
901,49,admin.,married,0,10250.0
902,50,Others,single,0,3537.0
904,37,admin.,married,0,1967.0
905,27,Others,married,0,2329.0
907,39,admin.,married,0,1757.0
908,43,Others,married,0,107.0
909,34,Others,married,0,1012.0
912,35,Others,single,0,7506.0
914,43,Others,married,0,860.0
915,34,Others,married,0,0.0
916,35,Others,single,0,3623.0
917,38,admin.,single,0,2470.0
918,39,Others,married,0,1307.0
920,40,Others,married,0,5041.0
921,40,Others,married,0,6619.0
922,31,Others,married,0,1331.0
923,37,Others,married,0,1970.0
925,49,Others,married,0,249.0
926,30,Others,single,0,12857.0
927,31,Others,single,0,2807.0
928,40,Others,married,0,5060.0
929,43,admin.,married,0,2271.0
930,48,Others,married,0,1.0
931,34,Others,married,0,676.0
932,28,Others,single,0,160.0
933,34,admin.,married,0,899.0
934,47,Others,married,0,1230.0
935,40,Others,married,0,0.0
936,32,Others,single,0,700.0
937,31,Others,single,0,0.0
938,27,Others,single,0,67.0
939,35,Others,single,0,127.0
940,32,Others,married,0,2089.0
941,40,Others,married,0,3585.0
942,40,Others,married,0,4152.0
943,30,Others,single,0,816.0
944,37,Others,married,0,5447.0
946,40,Others,married,0,1540.0
947,34,Others,married,0,751.0
948,40,Others,single,0,380.0
949,40,Others,married,0,1504.0
950,40,Others,married,0,1783.0
951,40,Others,married,0,2269.0
952,37,Others,married,0,5115.0
953,45,Others,married,0,781.0
954,49,Others,single,0,-188.0
955,31,Others,single,0,761.0
956,31,admin.,single,0,19.0
957,35,Others,married,0,4508.0
959,48,Others,married,0,2266.0
960,39,Others,single,0,4646.0
961,34,Others,single,0,1494.0
962,49,Others,married,0,1050.0
963,41,Others,married,0,0.0
964,46,Others,married,0,0.0
966,38,Others,married,0,3234.0
967,39,Others,married,0,11887.0
968,46,Others,married,0,0.0
970,32,Others,single,0,386.0
971,30,admin.,married,0,8781.0
972,40,Others,married,0,538.0
973,30,Others,single,0,5561.0
975,30,Others,single,0,0.0
976,30,Others,single,0,-617.0
977,43,Others,married,0,1429.0
978,47,Others,married,0,4189.0
979,40,Others,married,0,580.0
980,32,Others,single,0,2615.0
982,33,Others,single,0,149.0
983,40,Others,single,0,3.0
984,42,Others,married,0,807.0
986,32,Others,single,0,1249.0
987,38,Others,married,0,190.0
988,32,Others,single,0,550.0
989,30,Others,married,0,12737.0
990,35,Others,married,0,0.0
991,36,admin.,married,0,1207.0
993,42,Others,married,0,3713.0
994,40,Others,married,0,3352.0
995,32,Others,married,0,254.0
996,32,Others,married,0,4654.0
997,41,Others,single,1,-386.0
998,34,Others,single,0,3043.0
999,40,Others,single,0,1547.0
1000,32,Others,single,0,945.0
1001,32,Others,single,0,6402.0
1002,36,Others,single,0,1295.0
1003,45,Others,married,0,6993.0
1004,47,Others,married,0,4420.0
1006,36,Others,married,0,11462.0
1007,33,Others,married,0,6843.0
1008,30,Others,married,0,501.0
1009,32,Others,single,0,5806.0
1010,45,Others,married,0,20138.0
1011,47,Others,married,0,1315.0
1012,46,Others,married,0,0.0
1013,39,Others,single,0,7.0
1014,30,Others,married,0,3929.0
1015,45,Others,married,0,7.0
1016,43,Others,married,0,699.0
1017,40,Others,married,0,421.0
1018,43,Others,married,0,4333.0
1020,30,Others,single,0,7773.0
1021,30,admin.,married,0,1794.0
1022,36,Others,single,0,2032.0
1023,33,Others,married,0,3401.0
1024,38,Others,married,0,1110.0
1026,32,Others,married,0,983.0
1028,40,Others,married,0,6888.0
1030,32,Others,single,0,121.0
1031,40,Others,single,0,3469.0
1032,45,Others,married,0,5461.0
1033,40,Others,married,0,7119.0
1034,31,Others,married,0,-35.0
1035,31,Others,married,0,314.0
1036,39,Others,single,0,18508.0
1037,35,Others,married,0,5639.0
1038,33,Others,married,0,2918.0
1039,50,Others,married,0,12519.0
1040,36,Others,married,0,4069.0
1041,34,admin.,single,0,4254.0
1043,47,Others,married,0,0.0
1044,39,admin.,single,0,2263.0
1045,31,Others,single,0,2589.0
1046,41,Others,single,0,1982.0
1047,40,Others,married,0,7049.0
1049,48,Others,married,0,7195.0
1050,50,admin.,married,0,4117.0
1051,31,admin.,single,0,3950.0
1052,30,Others,single,0,495.0
1053,31,Others,married,0,8629.0
1054,30,Others,married,0,455.0
1055,34,Others,single,0,4536.0
1056,40,Others,married,0,1777.0
1057,34,Others,married,0,3527.0
1058,40,Others,married,0,372.0
1059,41,Others,single,0,92.0
1060,40,admin.,married,0,72.0
1062,31,Others,married,0,4148.0
1063,40,Others,married,0,96.0
1064,39,Others,married,0,2245.0
1065,47,Others,married,0,834.0
1066,44,Others,married,0,4119.0
1067,45,Others,married,0,-525.0
1068,41,Others,married,0,39.0
1069,33,Others,single,0,0.0
